그룹,videoId,제목,채널,조회수,좋아요,댓글수,영상길이,게시일,썸네일
코스피 5000,4NixE7o5to0,코스피 5000시대 지금부터는 조심하세요!,증시각도기TV,314704,2833,195,PT37S,2026-01-23T01:20:56Z,https://i.ytimg.com/vi/4NixE7o5to0/mqdefault.jpg
코스피 5000,SXwNW3qkXzI,"코스피 5000 돌파, 역사적 기회일까, 위험일까?ㅣ존리의 머니스쿨",존리의 부자학교,311630,7723,374,PT29M56S,2026-01-22T11:40:00Z,https://i.ytimg.com/vi/SXwNW3qkXzI/mqdefault.jpg
코스피 5000,KMrGNbl9lBY,#코스피5000 비웃던 #진중권 #나경원 #이준석 등 [잼뉴] #잼있는뉴스,잼있는뉴스,290582,6819,483,PT1M57S,2026-01-22T03:23:57Z,https://i.ytimg.com/vi/KMrGNbl9lBY/mqdefault.jpg
코스피 5000,e9KIaRNHtlY,경축 코스피 5000 기념 나빠루 박제영상,상식의시선,270090,6842,1163,PT41S,2026-01-22T06:45:05Z,https://i.ytimg.com/vi/e9KIaRNHtlY/mqdefault.jpg
코스피 5000,rW1btJnOfCg,코스피 5000고지 코 앞! 삼전닉스 이을 '주도주'는 이것!!,장르만 여의도,220609,3741,239,PT24M42S,2026-01-20T09:30:00Z,https://i.ytimg.com/vi/rW1btJnOfCg/mqdefault.jpg
코스피 5000,cdWIbiy67_o,"[풀버전] 미국보다 한국에 기회가 많다. 코스피 5천, 문제는 지금부터 시작이다 '코스피 대전환의 조건' | 경읽남과 토론합시다 | 이광수 대표",경제 읽어주는 남자(김광석TV),180043,6651,623,PT1H14M3S,2026-01-25T09:00:55Z,https://i.ytimg.com/vi/cdWIbiy67_o/mqdefault.jpg
코스피 5000,uua9eA3V3ZY,[지금뉴스] 매수로 보여줬던 ‘코스피 5000’ 공약…이 대통령 ETF 수익률 ‘대박’ / KBS 2026.01.22.,KBS News,162214,1781,1118,PT2M6S,2026-01-22T07:51:31Z,https://i.ytimg.com/vi/uua9eA3V3ZY/mqdefault.jpg
코스피 5000,y0bc8mudkNg,[경제만화방] '코스피 5000' 일등공신은 누구? / 현대차·바이오주 대응전략 (ft. 박시동),박시영TV,148066,9132,229,PT1H15M20S,2026-01-23T10:00:06Z,https://i.ytimg.com/vi/y0bc8mudkNg/mqdefault.jpg
코스피 5000,XapM_Nts4sM,코스피 5000을 조롱했던 경제 유튜버? #사장남천동 #오창석 #거의없다 #임경빈  #코스피 #주식,전포동산만디박사장,146139,3068,150,PT1M17S,2026-01-23T13:46:56Z,https://i.ytimg.com/vi/XapM_Nts4sM/mqdefault.jpg
코스피 5000,bFEroTyyc2E,코스피 5000 직전 등장한 인구신,다들알다시피,140631,1033,248,PT28S,2026-01-19T15:59:46Z,https://i.ytimg.com/vi/bFEroTyyc2E/mqdefault.jpg
코스피 5000,btCEPorTQ6k,"코스피 5000 현실됐다, 단, 삼성전자·SK하이닉스, ‘이 신호’ 뜨면 반드시 매도하세요 (이권희 대표 / 1부)",신사임당,135412,3049,76,PT17M11S,2026-01-22T07:30:18Z,https://i.ytimg.com/vi/btCEPorTQ6k/mqdefault.jpg
코스피 5000,d652PNhA5TA,코스피 5000 기념 긴급 라이브,머니코믹스 Money Comics,133111,2537,236,PT41M3S,2026-01-22T04:24:52Z,https://i.ytimg.com/vi/d652PNhA5TA/mqdefault.jpg
