그룹,videoId,제목,채널,조회수,좋아요,댓글수,영상길이,게시일,썸네일
코스피 6000,I2khNUNGCmg,코스피 6000 돌파💥 주식 투자자의 지지세를 얻은 李 대통령 TV CHOSUN 260228 방송 | [강적들] 629회 | TV조선,TVCHOSUN - TV조선,24095,172,100,PT5M48S,2026-02-28T14:40:37Z,https://i.ytimg.com/vi/I2khNUNGCmg/mqdefault.jpg
코스피 6000,Rlg6Gt4bncU,[라이브] 코스피 6000 돌파! '공취모' 탈퇴 러쉬,2분News ,18458,3426,150,PT2H13M49S,2026-02-25T17:19:32Z,https://i.ytimg.com/vi/Rlg6Gt4bncU/mqdefault.jpg
코스피 6000,33q9qZehUYo,코스피 6000 임박! 카카오 그리고 2차전지 '이 종목' 반드시 매수해두세요! '이 시기' 무조건 반등할겁니다ㅣ종목의참견 요약본 김민형 전문가 손자희 앵커,E트렌드,17814,770,14,PT47M21S,2026-02-24T13:00:06Z,https://i.ytimg.com/vi/33q9qZehUYo/mqdefault.jpg
코스피 6000,BkzROlI1tts,"[속보] 코스피 6,000선 돌파…증시 새 역사 / 연합뉴스TV (YonhapnewsTV)",연합뉴스TV,15093,357,301,PT1M43S,2026-02-25T00:11:10Z,https://i.ytimg.com/vi/BkzROlI1tts/mqdefault.jpg
코스피 7000,9aIzTmNVe6I,"코스피 7000 돌파 기념, 조롱영상... 계속 조롱해주마",빛의 혁명:The Revolution of Light,1463418,37632,3763,PT1M13S,2026-05-06T03:15:00Z,https://i.ytimg.com/vi/9aIzTmNVe6I/mqdefault.jpg
코스피 7000,YZkhGLOGZc4,충격! 코스피7000에 분노하는 국민의힘,쭈쭈바,961730,49963,1902,PT1M45S,2026-05-06T21:51:43Z,https://i.ytimg.com/vi/YZkhGLOGZc4/mqdefault.jpg
코스피 7000,Nb_a8TeFWHo,[12시에 만나요] 역사의 날! 코스피 7400돌파!🔥 삼전닉스 아직도 안 샀어?ㅣ2026년 5월 6일 수요일,김어준의 겸손은힘들다 뉴스공장,588851,51228,972,PT1H6M51S,2026-05-06T04:05:57Z,https://i.ytimg.com/vi/Nb_a8TeFWHo/mqdefault.jpg
코스피 7000,dLKWWMQTOJ4,코스피 7000 돌파!! 큰손들 돈 몰린 곳!!,탑맵,577048,2646,2,PT6S,2026-05-06T07:19:38Z,https://i.ytimg.com/vi/dLKWWMQTOJ4/mqdefault.jpg
코스피 7000,6n63pCPik2I,코스피 너무 많이 올랐다고?? 이제 끝이라고?? #주식아가방 #12시에_만나요 #이광수대표 #박시동 #주식투자 #주식시장 #개미투자자 #코스피 #코스닥 #코스피7000,욱이형 정치폭격,466770,3974,22,PT23S,2026-05-06T02:30:10Z,https://i.ytimg.com/vi/6n63pCPik2I/mqdefault.jpg
코스피 7000,3LuP6xRi69M,정청래가 코스피 7000돌파가 이 대통령 덕분이라 하자 한동훈이 한 말,정치시사 모아보기,462561,12041,91,PT27S,2026-05-09T06:43:44Z,https://i.ytimg.com/vi/3LuP6xRi69M/mqdefault.jpg
코스피 7000,7lEXwNcV084,"국힘 또…역대급 7천피에 ""대통령직 운 좋아 유지"" #비하인드뉴스 / JTBC 뉴스룸",JTBC News,431860,7470,7263,PT4M3S,2026-05-06T11:58:01Z,https://i.ytimg.com/vi/7lEXwNcV084/mqdefault.jpg
코스피 7000,AtmAIEVuhoQ,"코스피7000이 운이라고? 30년 걸린 3천, 9개 월만에 7천",국민이 주인이다,394471,17710,671,PT57S,2026-05-07T12:44:35Z,https://i.ytimg.com/vi/AtmAIEVuhoQ/mqdefault.jpg
코스피 7000,i2fNLIKDhEo,"빅테크 실적 잭팟, 코스피 7,000 임박",슈카월드,391888,4486,437,PT29M26S,2026-05-04T09:53:00Z,https://i.ytimg.com/vi/i2fNLIKDhEo/mqdefault.jpg
코스피 7000,5bkp1gm7ghA,"""코스피 7,000 환호"" 속 숨겨진 진실들  | 오건영 단장 1부 [주말인터뷰]",삼프로TV 3PROTV,314405,7615,228,PT52M47S,2026-05-09T00:00:06Z,https://i.ytimg.com/vi/5bkp1gm7ghA/mqdefault.jpg
코스피 7000,utuJ4A69RwM,전쟁에도 코스피 급등…외국인 돌아오자 ‘8500 전망’까지 나온 이유,KBS 경제한방,301789,4177,455,PT9M14S,2026-05-03T22:30:23Z,https://i.ytimg.com/vi/utuJ4A69RwM/mqdefault.jpg
코스피 7000,aYoVDRilsTI,"[뉴스하이킥] 코스피 사상 첫 7000선 돌파...지금 들어가도 되나? - 곽상준, MBC 260506 방송",MBC 라디오 시사,263538,3784,338,PT17M5S,2026-05-06T11:04:22Z,https://i.ytimg.com/vi/aYoVDRilsTI/mqdefault.jpg
코스피 7000,1kBiDnuOPPU,"코스피 7,000 시대 개막! 진중권의 굴욕(사이다 주의)",시사약수터,235025,2123,254,PT32S,2026-05-07T02:30:01Z,https://i.ytimg.com/vi/1kBiDnuOPPU/mqdefault.jpg
코스피 7000,z7wIM9nVBIM,주여! 한번만 더!ㅠ #매불쇼 #코스피 #최욱 #이광수 #이지선 #주식 #한국주식 #코스피7000,븅큐베이팅,208875,2522,101,PT1M7S,2026-05-05T02:35:40Z,https://i.ytimg.com/vi/z7wIM9nVBIM/mqdefault.jpg
코스피 7000,fkOvVz7l-HU,코스피 7000 돌파 눈앞…공매도 잔고 20조 '사상 최대' 1위는 현대차｜지금 이 뉴스,JTBC News,205108,1032,619,PT1M17S,2026-05-05T01:38:50Z,https://i.ytimg.com/vi/fkOvVz7l-HU/mqdefault.jpg
코스피 7000,o7xWB5uD2cw,"""코스피 7000 찍었는데 내 계좌는 왜 마이너스냐"" 삼성전자 사면 돈 번다는 말의 잔혹한 진실",이코노메이션,182430,5460,759,PT24M16S,2026-05-09T10:42:25Z,https://i.ytimg.com/vi/o7xWB5uD2cw/mqdefault.jpg
코스피 7000,fPa-qHsBqXA,"코스피 7000 뚫은 날! '작심'한 대통령, 금융권 '작태' 직격!",전주MBC News,141731,3543,592,PT12M35S,2026-05-06T08:32:06Z,https://i.ytimg.com/vi/fPa-qHsBqXA/mqdefault.jpg
코스피 7000,Ok7kyd1D87I,"코스피 7,000시대가 눈앞인데 정치가 가로막고 있다?#shorts",뭐하노,120721,4423,148,PT1M55S,2026-05-04T11:57:01Z,https://i.ytimg.com/vi/Ok7kyd1D87I/mqdefault.jpg
코스피 7000,uqTsm4xDPq8,코스피 7천 돌파 !  조회수 핫한 투자전략 모아보기 #코스피7000 #김진 #강재헌 #염승환 #나탈리허 #이진우 #이정민 #머니쇼 #삼성전자 #sk하이닉스 #주식투자,SBS Biz 뉴스,117189,1207,9,PT2M32S,2026-05-06T07:58:19Z,https://i.ytimg.com/vi/uqTsm4xDPq8/mqdefault.jpg
코스피 7000,pE0McXi_PcA,한국주식 이제 시작이다? 어디까지 갈까? #코스피7000 #12시에만나요,정치블루스,115927,1440,4,PT32S,2026-05-07T06:22:09Z,https://i.ytimg.com/vi/pE0McXi_PcA/mqdefault.jpg
코스피 7000,amLu5YYfJVA,"코스피 7000 돌파를 향한 .. 미친 상승이 시작된 이유 / 삼성전자, SK하이닉스 레버리지 ETF 나오는 날 한국증시는?ㅣ이권희 대표",815머니톡,112835,3481,95,PT24M18S,2026-05-04T08:30:00Z,https://i.ytimg.com/vi/amLu5YYfJVA/mqdefault.jpg
코스피 7000,6w6BXe7l-mo,"부러져도 즐긴다…삼성전자에만 쏠리는 수급, 시장에 묻힌 이야기 | 윤지호 경제평론가ㅣ김치형 앵커",한국경제TV,111962,1979,104,PT25M44S,2026-05-06T07:22:20Z,https://i.ytimg.com/vi/6w6BXe7l-mo/mqdefault.jpg
코스피 7000,npynhW4IBx4,"코스피 7000 시대인 지금, 마지막까지 팔지 말아야 할 주식 (윤지호 경제평론가)",김작가 TV,101275,1656,50,PT15M8S,2026-05-06T09:34:16Z,https://i.ytimg.com/vi/npynhW4IBx4/mqdefault.jpg
코스피 7000,QLxId9MV62U,"""코스피 7000 돌파 실화! 삼성전자·SK하이닉스 동반 폭등 지금 확인하세요""",N 포인트,100171,1082,10,PT1M,2026-05-06T06:48:38Z,https://i.ytimg.com/vi/QLxId9MV62U/mqdefault.jpg
코스피 7000,uyHELLwYUFU,"[시장함께읽기] 5월 4일, 미국 개인투자자들이 몰려온다! 코스피 7000 임박(황산가격 급등, OPEC의 균열, 5월 전략, 한국수출, 반도체, 조선, 화장품)",염블리와 함께 [LS증권],88496,4782,176,PT1H2M35S,2026-05-04T09:01:29Z,https://i.ytimg.com/vi/uyHELLwYUFU/mqdefault.jpg
코스피 7000,LHK6Cpngs4Y,"코스피 7,000 돌파! 한국주식 증권사 목표 주가전망 상향 TOP10",이한울경제TV,85115,162,4,PT6S,2026-05-06T10:10:00Z,https://i.ytimg.com/vi/LHK6Cpngs4Y/mqdefault.jpg
코스피 7000,ZkIIFtVKpSs,[집중진단] 코스피 7000 초읽기…외국인 강매수 속 23만전자·144만닉스 돌파,SBS Biz 뉴스,76594,1144,42,PT30M48S,2026-05-04T07:43:26Z,https://i.ytimg.com/vi/ZkIIFtVKpSs/mqdefault.jpg
코스피 7000,ecJfoQcddQg,[갓생쇼] '코스피 7000 주역' 삼성전자 25만·SK하이닉스 160만 터치｜'불쏘시개' ETF '증시↑→자금유입→증시↑' 선순환 with 염승환 애널리스트｜KBS 260506,KBS 1라디오,69384,919,38,PT19M5S,2026-05-06T04:11:50Z,https://i.ytimg.com/vi/ecJfoQcddQg/mqdefault.jpg
코스피 7000,Le7pM8b8Yfs,"""코스피 7,000돌파! 축제 분위기에 이재명 대통령이 화난 진짜 이유?""",국민편 이잼,69244,2343,48,PT47S,2026-05-08T08:00:20Z,https://i.ytimg.com/vi/Le7pM8b8Yfs/mqdefault.jpg
코스피 7000,zYXw4pqNS5E,코스피 7000의 숨은 주역들,피식대학Psick Univ,68019,390,8,PT44S,2026-05-06T09:02:00Z,https://i.ytimg.com/vi/zYXw4pqNS5E/mqdefault.jpg
코스피 7000,VRuO3qzPEQk,"코스피 7000 앞에서 공매도 잔고 20조 사상 최대, 이 구조가 진짜 '기회'인 이유",경제사냥꾼,63734,3297,125,PT12M5S,2026-05-05T10:40:08Z,https://i.ytimg.com/vi/VRuO3qzPEQk/mqdefault.jpg
코스피 7000,l20CNJTsmQY,"코스피 7000 시대, 어디까지 올라갈까?ㅣ가장 큰 리스크? ""6월 스페이스X""ㅣ'염블리' 염승환 LS증권 이사",박성태의 뉴스쇼,62550,1061,43,PT20M47S,2026-05-08T01:20:02Z,https://i.ytimg.com/vi/l20CNJTsmQY/mqdefault.jpg
코스피 7000,m0KoZ0kV4Qw,코스피 7000으로 이재명 정부가 이룬 어마어마한 것들,사이다 저장소,58421,1812,11,PT36S,2026-05-06T13:23:35Z,https://i.ytimg.com/vi/m0KoZ0kV4Qw/mqdefault.jpg
코스피 7000,T5_ZCHWjyDM,세계가 놀란 코스피 7000 / 개헌 가자! / 샤이 보수는 허수 / 하정우 부산 북구갑 압도 등 + 조국 대표 #평택을,[공식] 새날,58105,7965,167,PT2H36M59S,2026-05-06T09:58:49Z,https://i.ytimg.com/vi/T5_ZCHWjyDM/mqdefault.jpg
코스피 7000,jCX_wuexJ6A,"[이슈체크] 코스피 7400까지 단숨에 돌파…삼전·SK하닉, 지금이라도 사? 말아?",SBS Biz 뉴스,56702,646,59,PT20M47S,2026-05-06T07:32:13Z,https://i.ytimg.com/vi/jCX_wuexJ6A/mqdefault.jpg
코스피 7000,xgEXzz066Us,"코스피 7000? 개헌? 조작기소특검? ""우리는 지금 모두 속고 있다""",BMTV 방미TV,55658,5490,371,PT8M8S,2026-05-07T08:45:51Z,https://i.ytimg.com/vi/xgEXzz066Us/mqdefault.jpg
코스피 7000,8BTNg2hu7ec,"[오늘 이 뉴스] 코스피 7,400 '폭풍 상승'.. 1년 전엔 얼만지 봤더니.. (2026.05.06/MBC뉴스)",MBCNEWS,55653,1646,436,PT2M17S,2026-05-06T08:19:55Z,https://i.ytimg.com/vi/8BTNg2hu7ec/mqdefault.jpg
코스피 7000,D3HQi8Bwpm0,코스피 7000 달성! 이재명 정부의 성과 #명민준 #국장,정치한입,50919,1374,30,PT36S,2026-05-06T15:00:20Z,https://i.ytimg.com/vi/D3HQi8Bwpm0/mqdefault.jpg
코스피 7000,FoFIZxfnJxY,"삼전•하이닉스 다음 타자, 수주 폭발 전력 TOP5 #코스피7000 #AI전력인프라 #전력기기 #두산에너빌리티 #비에이치아이 #한화엔진 #대한전선 #GST #가치투자 주식공부",주읽남-주식 읽어주는 남자,48764,1012,2,PT1M43S,2026-05-08T09:00:20Z,https://i.ytimg.com/vi/FoFIZxfnJxY/mqdefault.jpg
코스피 7000,Z72FwDGbEv4,"[풀영상]🔴코스피 7000 첫 돌파/절윤은커녕 친윤/자신감 찾은 장동혁, 흔들리는 한동훈(이정주, 장성철, 김광일, 송영훈) [질문하는 기자 260506]",이정주의 질문하는 기자,48149,2797,145,PT1H13M11S,2026-05-06T11:42:24Z,https://i.ytimg.com/vi/Z72FwDGbEv4/mqdefault.jpg
코스피 7000,07fI58qWC6c,연임이 답이다 !! #코스피7000 #이재명 #민주당 #국짐당,폴리버스,48090,2223,167,PT1M9S,2026-05-06T10:28:49Z,https://i.ytimg.com/vi/07fI58qWC6c/mqdefault.jpg
코스피 7000,WDxRQDNc8Eg,[전래동] 사상 첫 코스피 7000 돌파! / 이제 여성들도 윤어게인? / 지선 여론조사 분석!  (명민준 강미정 김예니),여의도 옆 문래동,46056,5795,187,PT1H35M31S,2026-05-06T04:57:42Z,https://i.ytimg.com/vi/WDxRQDNc8Eg/mqdefault.jpg
코스피 7000,LLMpeM6VtQ8,꿈의 코스피 7000 돌파하자 다시 소환된 다섯 사람은?,엠키타카 MKTK,43486,964,672,PT3M47S,2026-05-06T01:16:47Z,https://i.ytimg.com/vi/LLMpeM6VtQ8/mqdefault.jpg
코스피 7000,yBZnHD12HEo,"주식아가방 / 코스피 7,000 코앞! 이번주 주식 시장은? 김어준의 전망은? #뉴스공장 #주식초보 #아가방 #주식투자",DJ 여행&여가,43442,579,2,PT2M59S,2026-05-05T04:01:06Z,https://i.ytimg.com/vi/yBZnHD12HEo/mqdefault.jpg
코스피 7000,XhugKXDK2eY,[1분 집중] 김영진 “코스피 7000 시대..국민들 효능감 느껴”,MBC 라디오 시사,39028,898,28,PT1M34S,2026-05-07T02:33:00Z,https://i.ytimg.com/vi/XhugKXDK2eY/mqdefault.jpg
코스피 7000,KbhLparRoyY,코스피 단숨에 7천 뚫었다‥삼전·닉스 '훨훨' (2026.05.06/12MBC뉴스),MBCNEWS,32384,691,230,PT2M7S,2026-05-06T03:12:01Z,https://i.ytimg.com/vi/KbhLparRoyY/mqdefault.jpg
코스피 7000,ahzDSUhs5Jw,"🔴[260505] 우석진, 쾌속질주 코스피 7000 다지고 공방할 것-정진석 “추경호는 되고 난 안돼?"" (우석진 이건태 윤희웅 한상진)",장윤선의 취재편의점,30903,2736,1,PT2H45M37S,2026-05-05T07:25:30Z,https://i.ytimg.com/vi/ahzDSUhs5Jw/mqdefault.jpg
코스피 7000,JTpi6mtNspI,[풀영상] 뉴스9 : 코스피 7000도 넘었다…‘삼전닉스’ 올해 90% 급등에도 “더 오를 것” – 2026년 5월 6일(수) / KBS,KBS News,30003,307,14,PT46M59S,2026-05-06T13:05:37Z,https://i.ytimg.com/vi/JTpi6mtNspI/mqdefault.jpg
코스피 7000,vRrUEBsWPq0,"칠천피 시대! 남은 건 '주도주'뿐…신고가 이후 전략은?ㅣ홍선애, 이다솔 메리츠증권 강남프리미어센터 지점장 [여의도 인사이트]",삼프로TV 3PROTV,28437,717,27,PT46M11S,2026-05-06T08:58:04Z,https://i.ytimg.com/vi/vRrUEBsWPq0/mqdefault.jpg
코스피 7000,vJ7cq_nTNZk,[뉴스센터] ‘꿈의 7천피’ 시대 열렸다…코스피 어디까지? / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,25576,485,84,PT21M29S,2026-05-06T04:20:50Z,https://i.ytimg.com/vi/vJ7cq_nTNZk/mqdefault.jpg
코스피 8000,ZdmoIeZr5Q4,"코스피 8000 찍자 마자 급락하는 이유(ft.삼성전자, SK하이닉스,현대)",전인구경제연구소,444663,10558,899,PT11M37S,2026-05-15T04:01:31Z,https://i.ytimg.com/vi/ZdmoIeZr5Q4/mqdefault.jpg
코스피 8000,3NPa2UoimS4,"""코스피 8000서 급락"" 보다 더 무서운 것 | 박병창 MP파트너스 대표 [주말인터뷰]",삼프로TV 3PROTV,373705,7350,516,PT44M55S,2026-05-15T23:00:03Z,https://i.ytimg.com/vi/3NPa2UoimS4/mqdefault.jpg
코스피 8000,2JQy0jGwYtw,코스피 8000 찍자마자 급락! 아침에 터진 ‘악재 2개’,좋은미래만들기,291610,2151,38,PT59S,2026-05-16T09:06:23Z,https://i.ytimg.com/vi/2JQy0jGwYtw/mqdefault.jpg
코스피 8000,oc02YbX2Cho,"코스피 8000, 장동혁 나라 망해라 제사 지내나?",이슈카톡,214040,6895,822,PT40S,2026-05-15T06:28:44Z,https://i.ytimg.com/vi/oc02YbX2Cho/mqdefault.jpg
코스피 8000,4WnzIWytCZc,"코스피 8000 찍고 급락, 지금 사야 할까 기다려야 할까 ㅣ 허재환·이경민 ㅣ 경제전쟁꾼",한국경제TV,184587,3337,202,PT51M12S,2026-05-15T22:00:25Z,https://i.ytimg.com/vi/4WnzIWytCZc/mqdefault.jpg
코스피 8000,9Yo42_wntRo,"""삼성전자 이렇게 하세요"" 코스피 8000찍고 폭락! 5월 무시무시한 일 벌어진다 (차영주 소장 / 2부)",신사임당,173235,2503,112,PT9M52S,2026-05-15T04:00:10Z,https://i.ytimg.com/vi/9Yo42_wntRo/mqdefault.jpg
코스피 8000,pVhuw5yzpss,"코스피 8,000선 턱밑 급락...'건강한 휴식'입니다 | 이선엽  AFW파트너스 대표ㅣ김치형 앵커",한국경제TV,163668,3070,179,PT24M35S,2026-05-12T07:06:43Z,https://i.ytimg.com/vi/pVhuw5yzpss/mqdefault.jpg
코스피 8000,-ztJhh_T8S4,"[#찐시황]  코스피 8000 축포 쏘자마자 주가폭락... 검은 금요일 쇼크 / 머리가 하얘질 정도의 역대급 변동성 ""어떻게 대응하나"" | 김동엽 대표",815머니톡,142821,3403,275,PT23M46S,2026-05-15T11:00:03Z,https://i.ytimg.com/vi/-ztJhh_T8S4/mqdefault.jpg
코스피 8000,Qk3bBKg7pc0,"[1분 주식 완벽 정리] 코스피 8,000 돌파 직전 폭락. 사이드카까지 발동됐어요. 왜 이런 일이?",FutureScope,122757,2710,25,PT3M,2026-05-15T09:38:21Z,https://i.ytimg.com/vi/Qk3bBKg7pc0/mqdefault.jpg
코스피 8000,U3eUgaIl2Vc,빚내서 부동산은 ok? 주식은 no? #코스피8000 #주식 #부동산,시사썰전,107034,1492,26,PT1M30S,2026-05-17T05:30:05Z,https://i.ytimg.com/vi/U3eUgaIl2Vc/mqdefault.jpg
코스피 8000,GtkoLLi4OSU,"트럼프 비밀경호국 vs 시진핑 경호원 충돌...왜?/ 코스피8000찍고 폭락...韓증시 이대로 무너지나/ ""저희 회사 망한 것 같아요""...삼성전자 충격폭로 [이것이 뉴스다]",펜앤마이크TV,106011,14507,301,PT2H18M33S,2026-05-15T11:25:01Z,https://i.ytimg.com/vi/GtkoLLi4OSU/mqdefault.jpg
코스피 8000,tLiGws8ElcY,코스피8000 다 이유가 있었다! 노벨경제상 수상자와의 특별한 인연,이슈 김삿갓,103899,5384,68,PT2M39S,2026-05-15T05:56:26Z,https://i.ytimg.com/vi/tLiGws8ElcY/mqdefault.jpg
코스피 8000,8JxyGfdZN4o,"""삼성전자 심상치 않다"" 외국인 한국주식 파는 이유, 코스피 8000 찍고 급락은 '이 주식' 매수기회입니다 [인생주식]",주식장인,95103,0,402,PT29M44S,2026-05-18T09:00:09Z,https://i.ytimg.com/vi/8JxyGfdZN4o/mqdefault.jpg
코스피 8000,bU5Me2183sE,"[#긴급 시황] 코스피 8,000 터치 후 급락..  건강한 조정 인가, 폭락장의 서막 인가? / 물려도 '주도주'에 물려야 살아남는 이유ㅣ김민수 대표",815머니톡,87943,2036,71,PT25M45S,2026-05-15T08:00:39Z,https://i.ytimg.com/vi/bU5Me2183sE/mqdefault.jpg
코스피 8000,CzNEjsc9wkU,코스피 8000이 코 앞인데 돈깡은 어떻게 하고 있을까?,강민우 돈깡TV,77922,1568,143,PT11M30S,2026-05-13T11:00:15Z,https://i.ytimg.com/vi/CzNEjsc9wkU/mqdefault.jpg
코스피 8000,tEBJ0Yx92sk,"""코스피 8000찍고 수직하락 마감?!"" 지금 조정이 오히려 '저점 매수' 기회인 이유",경제사냥꾼,71731,3376,239,PT16M8S,2026-05-15T12:20:20Z,https://i.ytimg.com/vi/tEBJ0Yx92sk/mqdefault.jpg
코스피 8000,ZL0HRA0svSI,코스피 8000피 코앞에서 대폭락? 삼전·닉스 5조 투매의 진실ㅣ반도체 쉴 때 외인이 '미친 듯' 담는 이 종목에 주목!ㅣ김문석·강재현·김민재 ㅣ 진짜주식 2부,한국경제TV,67550,898,101,PT55M12S,2026-05-12T13:14:27Z,https://i.ytimg.com/vi/ZL0HRA0svSI/mqdefault.jpg
코스피 8000,LTWuyOQd8h4,"""삼성전자 이렇게 해라"" 코스피 8000에 바로 폭락! 곧 무시무시한 일 발생한다 (차영주 소장 / 통합본 1부)",신사임당 저장소(투자),57345,1104,54,PT20M32S,2026-05-16T04:00:18Z,https://i.ytimg.com/vi/LTWuyOQd8h4/mqdefault.jpg
코스피 8000,WvtTfV49kyc,코스피 8000 찍자마자 마이너스 6퍼센트 폭락 국민연금 150조 매도 폭탄의 진짜 시작일까,이코노메이션,52159,2663,362,PT22M42S,2026-05-16T08:12:17Z,https://i.ytimg.com/vi/WvtTfV49kyc/mqdefault.jpg
코스피 8000,GCK4kHYdtM0,"""외국인들이 다 파는 이유"" 코스피 8000 뚫고 폭락 중! 곧 무시무시한 일 벌어지나 (이영훈 영업이사 / 풀버전)",신사임당,51203,1052,33,PT46M56S,2026-05-17T06:30:06Z,https://i.ytimg.com/vi/GCK4kHYdtM0/mqdefault.jpg
코스피 8000,xTXCPJAQQaM,역사적 대사건 코스피 8000 시대의 개막 / 보수의 과표집 의미는? / 각종 단일화의 시작 / 극우가 트럼프를 기다렸던 이유 있었네 등,[공식] 새날,47610,6684,35,PT2H12M48S,2026-05-15T09:36:58Z,https://i.ytimg.com/vi/xTXCPJAQQaM/mqdefault.jpg
코스피 8000,o2CPuZA_gVE,주식 급락🔥코스피 8000이 전생같네..개미멘붕,유기주식테라피 ,47537,1029,89,PT14M25S,2026-05-18T10:56:51Z,https://i.ytimg.com/vi/o2CPuZA_gVE/mqdefault.jpg
코스피 8000,xpFdJ3OradA,"[마감브리핑] 코스피 8,000선 목전에서 하락 (2026년 5월 12일)",삼성증권,43114,25,1,PT2M26S,2026-05-12T07:21:36Z,https://i.ytimg.com/vi/xpFdJ3OradA/mqdefault.jpg
코스피 8000,URlvh7Opt9o,"[속보] 코스피 8,000 찍고 -6% 폭락, 외국인 5조 6,607억 투매ㅣ개미가 놓친 블룸버그의 단 한 단어, 월요일 살아남는 법",역사경제해결사,39381,1466,105,PT20M13S,2026-05-16T06:31:03Z,https://i.ytimg.com/vi/URlvh7Opt9o/mqdefault.jpg
코스피 8000,3joK2AUpqa4,"급락장 투자자, 심신안정, 용두, 코스피8000, 제주 초보, 하금지 & 주식계좌공개",쭈압,36886,1100,331,PT25M9S,2026-05-15T22:49:56Z,https://i.ytimg.com/vi/3joK2AUpqa4/mqdefault.jpg
코스피 8000,Yl7dGhp5Upg,코스피 8000 축하,취미부자 빈플렉스,34861,248,45,PT44S,2026-05-17T10:00:44Z,https://i.ytimg.com/vi/Yl7dGhp5Upg/mqdefault.jpg
코스피 8000,wGSf6A85kRE,"코스피 8,000 넘은 지금! 들어오시려고요? 지금 들어오지 마세요 (개인만 8조 샀다)",슈퍼개미 이세무사TV,34124,1471,111,PT15M28S,2026-05-15T09:30:07Z,https://i.ytimg.com/vi/wGSf6A85kRE/mqdefault.jpg
코스피 8000,v83HrRZQOB8,코스피 8000시대를 두려워 하는 자들 #코스피 #경제지 #이재명 #코스피 10000,폴리버스,31338,1828,108,PT1M7S,2026-05-12T12:01:35Z,https://i.ytimg.com/vi/v83HrRZQOB8/mqdefault.jpg
코스피 8000,7ENolqUEomc,5월14일(목)(모바일)코스피8000가고 그 다음은??!#삼성전자 #sk하이닉스 #현대차 #무료검색기 #주식차트,알로비밀타점,28903,664,9,PT2H7M28S,2026-05-14T14:08:58Z,https://i.ytimg.com/vi/7ENolqUEomc/mqdefault.jpg
코스피 8000,uj5xfoXyF38,외국인들이 나갔다? 개인은 매수 #시동위키 #코스피8000,정치블루스,28687,479,1,PT40S,2026-05-15T02:20:49Z,https://i.ytimg.com/vi/uj5xfoXyF38/mqdefault.jpg
코스피 8000,Vpdwv7Imo28,"[브레이킹 나우] 코스피 8000선 돌파 압두고 5% 급락, 블룸버그가 지목한 진짜 이유는 김용범의 'AI 국민배당' 때문?!#shorts",뉴스TVCHOSUN,28048,309,83,PT1M10S,2026-05-12T11:21:02Z,https://i.ytimg.com/vi/Vpdwv7Imo28/mqdefault.jpg
코스피 8000,H9jhFERyTrw,트럼프 ”이란 시간 얼마 남지 않았다“ / 코스피 8000보다 중요한 이것 / 미국도 마이크론 등 반도체 급락  #미국중국 #테슬라 #엔비디아 #반도체 #삼전 #에코프로 #하이닉스,서정덕TV,27592,4309,11,PT1H17M25S,2026-05-17T23:02:02Z,https://i.ytimg.com/vi/H9jhFERyTrw/mqdefault.jpg
코스피 8000,ZFwmIWIgqiY,5월12일(화)(모바일)코스피 8000 앞에서 무너지다. 원인! 대비!#삼성전자 #sk하이닉스 #현대차 #무료검색기 #주식차트,알로비밀타점,26398,568,6,PT1H53M1S,2026-05-12T14:45:36Z,https://i.ytimg.com/vi/ZFwmIWIgqiY/mqdefault.jpg
코스피 8000,qKhx7x_YaZ0,"이런 인연이?! 코스피 8,000을 돌파한 오늘!! 이 대통령이 만난 이 손님은? #이재명 #대통령  #이재명대통령 #이매진",KTV 이매진,25030,2415,34,PT32S,2026-05-15T03:39:16Z,https://i.ytimg.com/vi/qKhx7x_YaZ0/mqdefault.jpg
코스피 8000,e485K9tzRBY,"코스피 8000 돌파 직후 대폭락한 진짜 이유?와 삼성전자 주가 전망 코스피 8000찍고 폭락하나, 곧 무서운 일 벌어진다 ""한주라도 갖고 있다면 이렇게해라!",하루 경제학,24237,1254,57,PT25M47S,2026-05-18T22:00:38Z,https://i.ytimg.com/vi/e485K9tzRBY/mqdefault.jpg
코스피 8000,CVJd2ihPNoQ,"코스피 8,000에서 7,300까지 급락 앞으로 주가 향방은?",딜사이트경제TV,23715,354,0,PT1M12S,2026-05-18T04:56:45Z,https://i.ytimg.com/vi/CVJd2ihPNoQ/mqdefault.jpg
코스피 8000,Z_Uo6lXAu14,[경제읽기] 코스피 8000 첫 돌파…한국 증시 새 역사 / 연합뉴스TV (YonhapnewsTV),연합뉴스TV,23498,393,33,PT23M9S,2026-05-15T04:51:45Z,https://i.ytimg.com/vi/Z_Uo6lXAu14/mqdefault.jpg
코스피 8000,GtLp1td0BXg,'1만피 시대 온다' 8천피 돌파 후 건강한 조정기 생존 전략! #코스피전망 #코스피8000 #투자전략,머니팜 한국경제TV,22338,729,17,PT22M2S,2026-05-16T04:42:41Z,https://i.ytimg.com/vi/GtLp1td0BXg/mqdefault.jpg
코스피 8000,ThXIH3mE-dI,"지금 시장, 무거운 대장주보다 이쪽?! 코스피 8000 돌파! 삼전·하이닉스가 비싸? 그럼 이 종목 주목하세요!",슈퍼개미 이세무사TV,18832,1154,83,PT17M,2026-05-14T09:59:16Z,https://i.ytimg.com/vi/ThXIH3mE-dI/mqdefault.jpg
